,country,description,points,price,winery,variety,title
760,US,"The blackberry, blueberry, bacon, pepper and sandalwood flavors are nice, and the wine finishes dry. A good, rich Syrah for drinking now if you're looking for a full-bodied and tannic red wine. Give it a brief decant.",87,28.0,Mounts,Syrah,Mounts 2008 Estate Grown Syrah (Dry Creek Valley)
761,Chile,"Cola, root beer and other earthy aromas open up this full-bodied blend of 70% Cabernet and 30% Carmenère. The palate shows pointed, prickly acidity and flavors of black cherry and cassis. Offers a rich flavor profile but the acidity creates bite and sharpness.",87,19.0,Ninquén,Cabernet Sauvignon-Carmenère,Ninquén 2009 Antu Cabernet Sauvignon-Carmenère (Colchagua Valley)
762,Spain,"Round and good by Rueda standards, with melon and peach aromas but not too much citrus. The palate is full and chunky, with papaya, melon and a touch of pithy bitterness. More regular than special, but good and goes down easy before finishing dry.",87,14.0,Oro de Castilla,Verdejo,Oro de Castilla 2010 Solo Verdejo (Rueda)
763,Spain,"White fruits, flower blossom and a touch of brine work the nose, which is followed by flush, semisweet apple, gooseberry and lime flavors. More sweet than outright tangy, but still citrusy and zesty. Holds form on the crisp finish. 60% Verdejo and 40% Viura.",87,10.0,Pablo del Villar,Verdejo-Viura,Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda)
764,US,"A touch overripe, showing some bitter, dried raisinskin notes. If you can get past that, you'll find plenty of rich blackberry, dark chocolate, plum, beef jerky and black pepper flavors.",87,45.0,Pax,Syrah,Pax 2007 Cuvée Christine Syrah (North Coast)
765,US,"Ripe enough in blackberries, currants and mocha, with an earthy, tobacco herbaceousness. The tannins are potent, making the wine hard. Drink now, after a good decanting.",87,32.0,Robert Foley,Red Blend,Robert Foley 2008 The Griffin Red (Napa Valley)
766,Australia,"Light, fresh and silky—just what might be expected from cool-climate Pinot Noir. A pleasant earthiness underscores prettily interwoven strands of herbs and cherries. It's exciting to see the burgeoning quality of the wines coming out of Tasmania.",87,18.0,42°S,Pinot Noir,42°S 2008 Pinot Noir (Tasmania)
767,Spain,"Aromas of red licorice candy and raspberry are fruity, forward and clean. The palate is more than competent and balanced, with creamy strawberry and raspberry flavors. The finish is short but easy, and for the price that's all you can ask for.",87,9.0,Manyana,Tempranillo,Manyana 2008 Tempranillo (Cariñena)
768,Australia,"A good value in easy-to-drink Cabernet, McWilliam's 2008 is plummy and chocolaty, with soft tannins and a velvety finish. A bit simple perhaps, but definitely satisfying. Drink now.",87,11.0,McWilliam's Hanwood Estate,Cabernet Sauvignon,McWilliam's Hanwood Estate 2008 Cabernet Sauvignon (South Eastern Australia)
769,Italy,"Here's a jammy, overtly ripe expression of Aglianico that ultimately proves to be an easier and more immediate expression of this naturally tannic grape variety. Aromas include candied fruit, blackberry preserves, raw cherry and raisin.",87,30.0,Paternoster,Aglianico,Paternoster 2007 Synthesi  (Aglianico del Vulture)
770,France,"Now with its intensity and some bottle age, this wine—formerly known as Crémant de Cramant—is rich, with its apple flavor blending with an almond note and a soft, warm texture. The acidity shoots right through this ripe wine.",92,62.0,G. H. Mumm,Chardonnay,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne)
771,US,"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",92,40.0,Iron Horse,Sparkling Blend,Iron Horse 2007 Ocean Reserve Sparkling (Green Valley)
772,France,"Fight your way through the string and wax sealing that holds down the cork, and you'll discover a wine that is rich, full and opulent. The ripe peach character is balanced with the delicious toasty edge and final bright acidity. Ready to drink.",92,66.0,Jean Milan,Chardonnay,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay (Champagne)
773,Portugal,"Powerful and concentrated, this is just at its peak. Ripe, rich fruit and tarry tannins give it freshness and a dry core. It's solid and serious, a dense wine that calls for equally rich food. Drink it now while it's at its prime.",92,32.0,Monte da Penha,Portuguese Red,Monte da Penha 2005 Grande Reserva Red (Alentejo)
774,US,"The Lorna Marie is the winery's reserve, and it has exceptional concentration and depth. Berry and cherry dominate, spiced up with a pumpkin pie accent. Round, rich and full, yet moderate in alcohol, this is a fine expression of Oregon Pinot Noir in a challenging vintage.",92,70.0,Patton Valley,Pinot Noir,Patton Valley 2010 Lorna Marie Pinot Noir (Willamette Valley)
775,US,"All the 2010 Patton Valley Pinots are significantly lower in alcohol than the previous vintage, and it works to their advantage. Nuanced fruit flavors include rhubarb and tart cherry, with veins of cola and dark chocolate adding further complexity. Its length is excellent.",92,48.0,Patton Valley,Pinot Noir,Patton Valley 2010 West Block Pinot Noir (Willamette Valley)
776,France,"The extra age on this bone-dry wine has paid off, as the taut character of a young wine has been tempered with toast, creating a round feeling. It is perfectly in harmony now, beautiful and crisp.",92,72.0,Pierre Gimonnet et Fils,Chardonnay,Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne)
777,Italy,"Verduzzo is a very interesting grape that tends to exude oxidized aromas of candied fruit, butterscotch and carmel. But when made well, as in the case of this selection, it offers power, concentration and natural richness as well.",92,18.0,Scubla,Verduzzo,Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli)
778,US,"The Winderlea is perhaps the most unique in terms of style and flavor among all the 2010 Adelsheim single-vineyard Pinots. Its distinctive minerality accompanies tart cranberry and cherry notes, citrusy acidity with a splash of grapefruit flavor, and a finish that tastes of coffee and tea. Complex and long, this is a wine that will surely spark some heated discussion.",92,105.0,Adelsheim,Pinot Noir,Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills)
779,France,"This is a powerful, almost concentrated, very dry selection. Its richness comes from the weight of its fruit flavors and the tight tang of its intense acidity. From a fine vintage, it could still age for several more years. Disgorged July 2011.",92,101.0,Bruno Paillard,Champagne Blend,Bruno Paillard 2002 Assemblage Brut  (Champagne)
780,Italy,"Thanks to eight years in Vin Santo's traditional caratelli barrels, this sweet blend of Trebbiano and Malvasia offers a dark, golden-amber color, bearing intense aromas of dried apricot, candied fruit, honey and toasted almond.",92,50.0,Castello d'Albola,White Blend,Castello d'Albola 2003  Vin Santo del Chianti Classico
781,Italy,"A landmark wine for those who love Italian sparklers, this shows loads of ripe apricot, melon and honey notes, with toasted nut and baked bread hints in the background. There are also touches of caramel and butterscotch that help move the wine's thick and opulent texture across the palate. It ends with refreshing acidity and tonic perlage.",92,85.0,Ferrari,Chardonnay,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento)
782,US,"There's a honeyed accent to this sparkler, with tangerine, lime, buttered toast and yeasty flavors that are savory and complex. The mouthfeel is wonderfully soft and creamy. A great success for Laetitia, at a good price.",92,35.0,Laetitia,Sparkling Blend,Laetitia 2008 Cuvée M Sparkling (Arroyo Grande Valley)
783,US,"This is dry, rich, heady, spicy and utterly delicious. As usual, it contains a splash of Petite Sirah. Already throwing some sediment, it's pretty tannic, with complex flavors of wild blackberry and blueberry, black currant, licorice, cola, bacon and plum sauce, with a hint of exotic pepper and spice. This great Zinfandel is a joy to drink.",92,38.0,Bella,Zinfandel,Bella 2009 Big River Ranch Zinfandel (Alexander Valley)
784,Portugal,"This mature wine has a soft, smooth character and ripe fruit. With its red-berry flavors and gentle tannins, it's very ready to drink. The blend is dominated by Touriga Nacional from an estate at the heart of the Douro vineyards in Pinhão.",90,32.0,Quinta do Sagrado,Portuguese Red,Quinta do Sagrado 2008 VT '08 Red (Douro)
785,Argentina,"This is a highly particular, funky blend of 85% Malbec and 15% Cabernet. It opens with savory stewy earthy aromas of berry fruits and prune. Due to the 15.5% abv, this feels heavy and clampy, with rooty flavors of baked berry fruits, cola, minty herbs and carob. An oaky spicy toasty finish with heat is the closing act on this fully stuffed Salta blend.",90,25.0,San Pedro de Yacochuya,Red Blend,San Pedro de Yacochuya 2012 Red (Salta)
786,Portugal,"A ripe and structured wine, this has bold black fruits and balanced tannins that still need to soften. It has good potential with rich fruits and a tight mineral texture. Drink from 2018.",90,12.0,Sobredos,Portuguese Red,Sobredos 2012 Aneto Tinto Red (Douro)
787,US,"Robust black fruit forms around a dense, leathery core of concentration and richness before allowing room for softer, intertwined tannins to add structure and more depth. Chocolate marks the finish of this big, bold wine.",90,125.0,St. Supéry,Cabernet Sauvignon,St. Supéry 2013 Rutherford Estate Vineyard Cabernet Sauvignon (Rutherford)
788,Argentina,"Oaky, smoky aromas are New World all the way. Heavily toasted and creamy on the palate, this hefty full-bodied Chardonnay tastes of wood resin, spiced apple and peach. Solid acidity keep this in line, while a lasting wave of toasty oak pushes the finish.",90,46.0,Viña Cobos,Chardonnay,Viña Cobos 2015 Bramare Marchiori Vineyard Chardonnay (Perdriel)
789,Germany,"Fragrant notes of tangerine and yuzu peel abound on this citrusy dry Riesling. The palate is cutting and fresh, full of juicy white grapefruit and lime flavors. Light bodied yet satisfyingly thirst quenching, it finishes long with invigorating minerality.",90,29.0,Von Schleinitz,Riesling,Von Schleinitz 2015 Apollo Dry Riesling (Mosel)
790,US,"The variety is unmistakable, with notes of dried herb, dark cherry and espresso. The jammy fruit flavors are rich, with lightly grainy tannins and coffee notes on the finish. It shows a fine sense of balance.",90,17.0,Barnard Griffin,Cabernet Sauvignon,Barnard Griffin 2014 Signature Cabernet Sauvignon (Columbia Valley (WA))
791,US,"Just one barrel was produced from the own-rooted vines planted almost 50 years ago. It's earthy and scented with a menthol/eucalyptus note, that carries on through. Cranberry flavor reflects the rather low alcohol, but there is no hint of unripeness or any vegetative character.",90,85.0,Beacon Hill,Pinot Noir,Beacon Hill 2013 Chehalem Mountain Vineyard Pinot Noir (Chehalem Mountains)
792,France,The 45% Cabernet Sauvignon in this wine gives it structure and aging potential. It is a ripe wine that is also stylish with attractive acidity and plenty of black-currant fruitiness. The wine is developing well and it should be ready to drink from 2018.,90,30.0,Bernard Magrez,Bordeaux-style Red Blend,Bernard Magrez 2012 La Sérénité des Grands Chênes  (Médoc)
793,US,"This wine is a blend of Sangiovese (66%), Cabernet Sauvignon (20%) and Syrah. The aromas are brooding, with notes of earth, toast, red fruit and spice. The palate brings tart tangy cranberry flavors that linger on the finish.",90,34.0,Brian Carter Cellars,Red Blend,Brian Carter Cellars 2012 Tuttorosso Red (Yakima Valley)
794,US,"The nose of this wine combines this grape's best attributes: bright, crisp citrus redolent in grapefruit and Key lime, but with a tropical touch of guava and pineapple. The palate is broad and ripe but restrained enough, with plush mango and guava laid against a chalky backbone.",90,22.0,Buttonwood,Grenache Blanc,Buttonwood 2015 Grenache Blanc (Santa Ynez Valley)
795,France,"This is the second wine from one of the group of chateaus with Corbin in their names. It is a tight wine, firm with tannins and with a concentrated texture and flavors of over-extraction. That said, the wine will probably develop over time into something serious with a dark, dense aftertaste.",90,35.0,Château Corbin,Bordeaux-style Red Blend,Château Corbin 2014 Divin de Corbin  (Saint-Émilion)
796,France,"This is a perfumed wine, with mint flavors as well as blackberry fruits. There is still a dominant structure of tannins and the wood aging that will allow the wine to age well. The fruits give the wine weight while the aftertaste has great swathes of acidity. Drink from 2019.",90,45.0,Château Haut-Logat,Bordeaux-style Red Blend,Château Haut-Logat 2014  Haut-Médoc
797,France,"Produced from 30-year-old vines, this 55% Cabernet Sauvignon wine is firm with tannins as well as black-currant fruit. It is balanced with the potential to become a fruity wine with a soft texture. The acidity will keep it crisp and on point. Drink from 2018.",90,20.0,Château La Branne,Bordeaux-style Red Blend,Château La Branne 2014  Médoc
798,France,"With ripe Merlot dominating this fine, blackberry flavored wine, it is fruity and rich. The acidity gives a crisper edge to the wine while the tannins come from a dry core. It is a wine in progress, full of potential and likely to be ready to drink from 2018.",90,17.0,Château Mayne Vieil,Bordeaux-style Red Blend,Château Mayne Vieil 2014  Fronsac
799,France,"This 23-acre-estate is situated in the south of the Margaux appellation, close to classed growth Château Giscours. While not classified, it still has the ability to produce a fine ripe wine that also has great structure. Acidity and firm tannins are very present along with concentrated blackberry fruits. Drink this fine wine from 2019.",90,45.0,Château Mille-Roses,Bordeaux-style Red Blend,Château Mille-Roses 2012  Margaux
800,US,"With black cherry, blueberry, milk chocolate and balsamic reduction offsetting the light dill herbaceousness, this wine offers surprising depth for the affordable price. The texture is soft, yet the tannins stand up to the black cherry, charcoal and black-pepper flavors.",90,20.0,Chessman,Cabernet Sauvignon,Chessman 2014 Cabernet Sauvignon (Santa Ynez Valley)
801,US,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",90,50.0,Deerfield Ranch,Syrah,Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley)
802,France,"This is a firm wine, balancing some solid tannins with ripe red fruits. Still young, it is packed with fruitiness and with acidity that are centered around a firm core. Drink this stylish wine from 2018.",90,22.0,Domaine Franck Besson,Gamay,Domaine Franck Besson 2014 Le Griottier  (Juliénas)
803,US,"Aromas of savory herbs, mineral, exotic spice and red fruit are followed by fruit flavors that are surprisingly restrained considering the warmth of the vintage. Tart acidity livens it up. It's green for the variety but still brings enjoyment.",90,39.0,Efeste,Merlot,Efeste 2013 Upright Klipsun Vineyard Merlot (Red Mountain)
804,US,"The aromas of mineral, spice, toast, yellow apple and lemon pith are light but enchanting. The palate is medium bodied and refined, demonstrating judicious use of oak and a lengthy finish that shows some warmth.",90,35.0,Efeste,Chardonnay,Efeste 2014 Lola Evergreen Vineyard Chardonnay (Ancient Lakes)
805,US,"Bone dry and replete with skin flavors of pear and grapefruit pith, this is perfect for those who want to keep their alcohol consumption down without turning to a sweeter style of wine. Try it with grilled sausages and sauerkraut.",90,15.0,Firesteed,Riesling,Firesteed 2012 Riesling (Oregon)
806,US,"Very smooth, almost thick, this is a rich wine in flavor and mouthfeel. It practically oozes over the palate, dripping with ripe pineapple, vanilla and cream, and coats every corner of the mouth before lingering through a long finish. It's full bodied, soft and concentrated.",90,27.0,Iron Hub,Chardonnay,Iron Hub 2014 Small Lot Chardonnay (Sierra Foothills)
807,Australia,"Without any new oak or lees stirring, this wine's sole focus is on the fruit. Pineapple, melon and peach notes are pure and striking, supported by just hints of vanilla and cream. This medium-bodied Chardonnay finishes in a flurry of tangerine and lime.",90,66.0,Kooyong,Chardonnay,Kooyong 2013 Farrago Chardonnay (Mornington Peninsula)
808,Italy,"Aromas of ripe orchard fruit and chopped herb jump out of the glass. The savory palate serves up juicy Bartlett pear, green apple, citrus and a mint note while a hint of white almond adds depth. Very appealing.",90,32.0,Moncaro,Verdicchio,Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico)
809,Spain,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",90,20.0,Finca Constancia,Tempranillo,Finca Constancia 2011 Parcela 23 Tempranillo (Vino de la Tierra de Castilla)
810,US,"This wine opens with a confectionary nose, slowly unleashing its thick, concentrated richness of dark cherry and cassis on the palate. Between the layers are grippy tannins and shakes of meaty leather and black pepper. This could stand some time in a decanter or swirling in the glass before enjoying.",90,125.0,Aiken,Cabernet Sauvignon,Aiken 2013 Cabernet Sauvignon (Rutherford)
811,Germany,"White blossom perfume accents notes of fresh lemon, lime and green melon in this aromatic Silvaner. While dry in style, it's refreshingly juicy on the palate, bursting with pristine citrus flavor tinged by edges of lime and lemon pith. Mouth filling and rich in texture, it clings lusciously through a long finish.",90,16.0,Castell,Silvaner,Castell 2015 Castell Silvaner (Franken)
812,US,"This is a particularly expressive wine with lots of personality. It opens with aromas of cherry, tea and wood smoke, and tastes very dry and structured with vivid fruit acidity and tannins. Sour cherry and raspberry provide the fruit flavors.",90,42.0,Donkey & Goat,Syrah,Donkey & Goat 2013 Perli Vineyards Syrah (Mendocino Ridge)
813,Australia,"Built for early consumption, this blend of 59% Grenache, 22% Shiraz and 19% Mataro is lush and warm, offering chocolaty notes alongside hints of brown sugar, grilled meat and blueberries. Drink now–2022.",90,22.0,Torbreck,Red Blend,Torbreck 2013 Cuvee Juveniles Red (Barossa Valley)
815,US,"All from Rosebud Vineyard, this moderately aromatic wine brings notes of herbs and pineapple, with Sémillon (15%) adding fig to the mix. The concentration doesn't seem all there and it needs a bit more acid to stand it up.",86,18.0,Finn Hill,Sauvignon Blanc,Finn Hill 2013 Soleil Sauvignon Blanc (Wahluke Slope)
816,US,"While demure on the nose, this light-footed Gewürztraminer is pretty on the palate with delicate lychee and floral notes. Its unusually nervous and shy for it's variety, but refreshingly quaffable.",86,22.0,Keuka Spring,Gewürztraminer,Keuka Spring 2013 Pre-Emption Vineyard Gewürztraminer (Finger Lakes)
817,Chile,"Earthy, lightly stewed aromas of plum and berry set up a lively but pinched and narrow palate with candied flavors of mixed red berry fruits. Additional red-fruit friendliness rolls onto the finish of this pleasant but basic Merlot.",86,12.0,La Playa,Merlot,La Playa 2012 Block Selection Reserve Block N. 10 Merlot (Colchagua Valley)
818,France,"The wine is warm and round, full of ripe berry fruits and soft tannins. It's ready to drink now with its full structure, balanced acidity and juicy aftertaste.",86,15.0,Les Vins Aujoux,Gamay,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages)
819,France,"Soft, ripe and fruity, this is an immediately accessible, drinkable wine. It's soft with lemon and yellow fruits coming together to give a fresh, lively apéritif style of wine.",86,9.0,Mont Gravet,Colombard,Mont Gravet 2013 Colombard (Côtes de Gascogne)
820,Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",86,12.0,Navardia,Tempranillo Blend,Navardia 2013 Made With Organic Grapes  (Rioja)
821,Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",86,15.0,Pata Negra,Sparkling Blend,Pata Negra NV Brut Sparkling (Cava)
822,Italy,"This displays evident oak sensations of sweet vanilla, toast, espresso, milk chocolate and mature black plum alongside drying tannins. There's not much fresh acidity so drink soon before it dries out.",86,20.0,Ridolfi,Sangiovese,Ridolfi 2012  Rosso di Montalcino
823,US,"Grape soda, prune, leather, graphite, dust and black tobacco blend into an intriguing nose on this estate Malbec from Paso's Eastside. It's a little rustic around the edges once sipped, but pleasantly so. The mouthfeel is soft, the flavors are peppery and the tannins and acidity are built to last.",86,28.0,Still Waters,Malbec,Still Waters 2010 Malbec (Paso Robles)
824,US,"Nothing is out of place in this solid, attractive and well-priced Merlot. It is a straightforward red wine that feels well-balanced, is medium to full-bodied, and has tasty, mellow plum and cherry flavors. Firm tannins mark the clean finish.",86,10.0,Stomping Ground,Merlot,Stomping Ground 2010 Merlot (California)
825,Italy,"Roasted coffee bean, underbrush, toast and allspice lead the nose on this big wine. The one-dimensional palate offers dense cherry extract, licorice and the warmth of alcohol. It's already evolved so drink now.",86,70.0,Tenuta Poggio il Castellare,Sangiovese,Tenuta Poggio il Castellare 2009  Brunello di Montalcino
826,Italy,"This wine brings together sensations of tilled earth, espresso, oak extract, coffee, overripe black plum and vanilla. The palate displays tightly packed tannins but it's low on fresh acidity so drink it soon.",86,28.0,Tenuta San Giorgio,Sangiovese,Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino)
827,Chile,"Leathery, briny plum aromas are full and herbal. This feels solid and medium in size and body. Flavors of earthy, roasted berry and plum finish lightly green and herbal, with a touch of sweetness.",86,11.0,Terrapura,Merlot,Terrapura 2012 Merlot (Curicó Valley)
828,France,"Chenin Blanc has found an unlikely new home in Cahors, to judge by the producers who are trying it out. It works well, giving a deliciously nutty character as well as intense citrus and minerality. Age this wine until 2015.",86,30.0,Clos Troteligotte,Chenin Blanc,Clos Troteligotte 2013 K-libre Chenin Blanc (Côtes du Lot)
829,US,"A clean, fresh wine, this opens with crisply varietal aromatics of citrus and orange blossom. The flavors follow suit, adding some fresh-cut pineapple as well; then the wine hits a wall and simply pulls up short.",86,26.0,Columbia Winery,Viognier,Columbia Winery 2013 Viognier (Columbia Valley (WA))
830,France,"Crisp while also fruity, it has bright acidity, lively citrus and apple flavors and a refreshing aftertaste. Drink now.",86,15.0,Domaine de Thulon,Chardonnay,Domaine de Thulon 2013  Beaujolais-Villages
831,France,Some wood aging gives the fruitiness of the wine an added spice. Tannins support the bitter cherry flavors and add firmness to the juicy acidity. Drink from the end of 2015.,86,23.0,Domaine du Haut-Poncié,Gamay,Domaine du Haut-Poncié 2013 Roche Grès  (Moulin-à-Vent)
833,Italy,"Aromas of a closed cellar blow off in the glass to reveal underbrush, violet, woodland berries and a hint of white pepper that all carry over to the palate. It's one-dimensional with fresh acidity and would work well with deep-dish pizza covered with toppings.",86,30.0,Dosio,Nebbiolo,Dosio 2012  Nebbiolo d'Alba
834,Chile,"Briary, spicy, mildly herbal berry aromas give way to a full, bold, wiry feeling palate with pointed acidity. Herbal, lightly green flavors of tobacco and plum finish crisp.",86,10.0,G7,Cabernet Sauvignon,G7 2012 Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley)
835,France,"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",86,12.0,Georges Duboeuf,Gamay,Georges Duboeuf 2013 Flower Label  (Beaujolais)
836,Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",86,13.0,Juvé y Camps,Sparkling Blend,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava)
837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",86,15.0,Juvé y Camps,Sparkling Blend,Juvé y Camps NV Sweet Reserva Sparkling (Cava)
838,US,"Despite the abv listed, this wine does not seem especially ripe. Peppery highlights carry a whiff of onion, and between the alcohol burn and the green edges, the wine has not come together. Aging in 40% new oak adds some toast, but not grip or density.",86,36.0,Kontos,Syrah,Kontos 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA))
839,US,"Blossoms and yellow cherries lend a sweet floral flair on the nose of this dry Riesling. It's straightforward in style, but quaffable and refreshing, with flavors of fresh apple and pear that finish crisp and clean.",86,20.0,Lamoreaux Landing,Riesling,Lamoreaux Landing 2013 Yellow Dog Vineyard Riesling (Finger Lakes)
841,US,"This does a good job of balancing lively pear and apple flavors with dashes of toast and butter. It's medium to full-bodied, dry and has enough crispness to help the flavors linger.",86,10.0,Leaping Horse,Chardonnay,Leaping Horse 2013 Chardonnay (California)
842,France,"While the wine has a crisp side, it's also full of red fruits and soft tannins. That makes for a wine that's fragrant, fruity, ready to drink and not likely to age much. Enjoy it now.",86,16.0,Manoir du Carra,Gamay,Manoir du Carra 2013  Beaujolais-Villages
843,US,"Aged for 20 months in 40% new French oak, this remains a tough nut to crack. It's encased in a hard tannic shell, with little ripe fruit, and is strongly flavored with barrel notes of tobacco and vanilla. Decant it or put it through an aerator.",86,25.0,Maryhill,Cabernet Franc,Maryhill 2011 Proprietor's Reserve Cabernet Franc (Columbia Valley (WA))
844,Italy,"Aromas of citrus, white stone fruit and a vegetal hint suggesting tomato leaf lead the way. The racy palate offers grapefruit, pineapple, fresh white peach and flinty mineral while a pleasantly bitter note closes the finish.",90,24.0,Cottanera,Carricante,Cottanera 2015 Bianco  (Etna)
846,France,"A soft, stony scent of pebble and the faintest melon signals a fresh, clean wine. The palate plays these aromas out softly but also with precision. That stoniness lingers on the dry, gentle finish and the lasting flavor of fresh apple peel",90,24.0,Domaine Barmès-Buecher,Sylvaner,Domaine Barmès-Buecher 2014 Rosenberg Sylvaner (Alsace)
847,France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",90,33.0,Domaine Bott-Geyl,Pinot Noir,Domaine Bott-Geyl 2012 Galets Oligocène Pinot Noir (Alsace)
849,France,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018",90,70.0,Domaine Faiveley,Pinot Noir,Domaine Faiveley 2014  Gevrey-Chambertin
850,France,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",90,117.0,Domaine Jacques Prieur,Chardonnay,Domaine Jacques Prieur 2014 Grèves Premier Cru  (Beaune)
852,France,"Bruised apple and dandelion notes play spicily on the textured, slightly phenolic palate. The central streak of freshness brightens all aspects of the wine, which might gain complexity with a year or two more in bottle. For now it remains intriguingly poised between earthy richness and ethereal lift.",90,16.0,Domaine Roland Schmitt,Sylvaner,Domaine Roland Schmitt 2014 Grand A du Petit Léon Sylvaner (Alsace)
853,Germany,"A dusting of crushed slate and saffron accents this zesty lime and honey kissed Kabinett. It's dancingly light on the palate, but concentrated with swirls of marmalade and orange-peel flavors that extend through a long finish. Drink now through 2025.",90,30.0,Dr. H. Thanisch (Erben Thanisch),Riesling,Dr. H. Thanisch (Erben Thanisch) 2014 Thanisch Kabinett Riesling (Mosel)
854,US,"An interesting vein of tasty herb flavor runs through this full-bodied, plump and fruity wine. The aroma has hints of dill and sage, and these mingle with black cherry and blueberry on the palate. A sleek texture and long finish complete the picture.",90,20.0,Easton,Zinfandel,Easton 2014 Zinfandel (Amador County)
855,US,"Quite buttery and nutty on the nose, this wine shows Marcona almonds, seared pineapple, crème brûlée and vanilla custard. Those elements meet with smart amounts of acid and texture on each creamy, buttery, pineapple-laced sip, which then finishes on marshmallow flavors.",90,35.0,Edna Valley Vineyard,Chardonnay,Edna Valley Vineyard 2013 Reserve Chardonnay (Edna Valley)
856,Italy,"Scents of pressed white flower, orchard fruit, smoke, citrus and a whiff of nut lead the nose on this savory white. The round, medium-bodied palate offers mature pear, pineapple, peach and hazelnut while a note of flinty mineral lifts the finish.",90,25.0,Fattoria La Rivolta,Fiano,Fattoria La Rivolta 2015 Taburno Fiano (Sannio)
857,US,"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",90,28.0,Fess Parker,Syrah,Fess Parker 2013 Syrah (Santa Barbara County)
858,US,"Fresh cut pear fruit flavors carry this wine. It's crisp and clean, with fresh fruit balanced against natural acidity. Drink it now while the freshness is paramount.",90,15.0,Firesteed,Pinot Gris,Firesteed 2014 Pinot Gris (Oregon)
859,US,"This is a generous, leathery and tannic wine, full-bodied and made in a juicy, foreboding style. Black pepper, leather and cigar smoke provide a sultry, robust edge to the wine, which should cellar well, through 2020.",90,150.0,Foretell,Cabernet Sauvignon,Foretell 2012 Cabernet Sauvignon (Spring Mountain District)
860,US,"Fresh cracked peppercorn, dense black and purple fruit and a cedar tone carry through the nose of this lavish yet nuanced bottling from a South Coast winery that practices extended aging before release. The elderberry fruit is hung on a strong tannic structure, bolstered by woody cigar box, incense, juniper and espresso flavors.",90,45.0,Gershon Bachus,Cabernet Franc,Gershon Bachus 2009 Erato De Portola Trail Vineyard Cabernet Franc (Temecula Valley)
861,Italy,"Pressed wild flower, hay, fennel and ripe berry scents mingle together in the glass. The refreshing palate combines crushed strawberry, juicy red cherry, saline and a hint of baking spice alongside bright acidity.",90,30.0,Graci,Nerello Mascalese,Graci 2015 Rosso  (Etna)
